"","dispersal","sig_niche","alpha","n_sp","rep"
"266",0.00464158883361278,4.64158883361278,"0.5",24,1
"267",0.00464158883361278,4.64158883361278,"1.5",11,1
"268",0.00464158883361278,4.64158883361278,"equal",20,1
"269",0.00464158883361278,4.64158883361278,"patch_dynamics",1,1
"270",0.00464158883361278,10,"0.5",21,1
"271",0.00464158883361278,10,"1.5",14,1
"272",0.00464158883361278,10,"equal",26,1
"273",0.00464158883361278,10,"patch_dynamics",2,1
"274",0.01,0.0215443469003188,"0.5",3,1
"275",0.01,0.0215443469003188,"1.5",1,1
"276",0.01,0.0215443469003188,"equal",2,1
"277",0.01,0.0215443469003188,"patch_dynamics",1,1
"278",0.01,0.0464158883361278,"0.5",18,1
"279",0.01,0.0464158883361278,"1.5",8,1
"280",0.01,0.0464158883361278,"equal",8,1
"281",0.01,0.0464158883361278,"patch_dynamics",7,1
"282",0.01,0.1,"0.5",24,1
"283",0.01,0.1,"1.5",11,1
"284",0.01,0.1,"equal",8,1
"285",0.01,0.1,"patch_dynamics",10,1
"286",0.01,0.215443469003188,"0.5",27,1
"287",0.01,0.215443469003188,"1.5",11,1
"288",0.01,0.215443469003188,"equal",9,1
"289",0.01,0.215443469003188,"patch_dynamics",9,1
"290",0.01,0.464158883361278,"0.5",25,1
"291",0.01,0.464158883361278,"1.5",7,1
"292",0.01,0.464158883361278,"equal",10,1
"293",0.01,0.464158883361278,"patch_dynamics",8,1
"294",0.01,1,"0.5",23,1
"295",0.01,1,"1.5",8,1
"296",0.01,1,"equal",11,1
"297",0.01,1,"patch_dynamics",5,1
"298",0.01,2.15443469003188,"0.5",22,1
"299",0.01,2.15443469003188,"1.5",9,1
"300",0.01,2.15443469003188,"equal",20,1
"301",0.01,2.15443469003188,"patch_dynamics",3,1
"302",0.01,4.64158883361278,"0.5",19,1
"303",0.01,4.64158883361278,"1.5",3,1
"304",0.01,4.64158883361278,"equal",18,1
"305",0.01,4.64158883361278,"patch_dynamics",2,1
"306",0.01,10,"0.5",17,1
"307",0.01,10,"1.5",7,1
"308",0.01,10,"equal",18,1
"309",0.01,10,"patch_dynamics",1,1
"310",0.0215443469003188,0.0215443469003188,"0.5",9,1
"311",0.0215443469003188,0.0215443469003188,"1.5",5,1
"312",0.0215443469003188,0.0215443469003188,"equal",4,1
"313",0.0215443469003188,0.0215443469003188,"patch_dynamics",3,1
"314",0.0215443469003188,0.0464158883361278,"0.5",20,1
"315",0.0215443469003188,0.0464158883361278,"1.5",10,1
"316",0.0215443469003188,0.0464158883361278,"equal",6,1
"317",0.0215443469003188,0.0464158883361278,"patch_dynamics",8,1
"318",0.0215443469003188,0.1,"0.5",27,1
"319",0.0215443469003188,0.1,"1.5",14,1
"320",0.0215443469003188,0.1,"equal",10,1
"321",0.0215443469003188,0.1,"patch_dynamics",10,1
"322",0.0215443469003188,0.215443469003188,"0.5",28,1
"323",0.0215443469003188,0.215443469003188,"1.5",11,1
"324",0.0215443469003188,0.215443469003188,"equal",10,1
"325",0.0215443469003188,0.215443469003188,"patch_dynamics",7,1
"326",0.0215443469003188,0.464158883361278,"0.5",26,1
"327",0.0215443469003188,0.464158883361278,"1.5",12,1
"328",0.0215443469003188,0.464158883361278,"equal",13,1
"329",0.0215443469003188,0.464158883361278,"patch_dynamics",10,1
"330",0.0215443469003188,1,"0.5",24,1
"331",0.0215443469003188,1,"1.5",6,1
"332",0.0215443469003188,1,"equal",14,1
"333",0.0215443469003188,1,"patch_dynamics",11,1
"334",0.0215443469003188,2.15443469003188,"0.5",25,1
"335",0.0215443469003188,2.15443469003188,"1.5",7,1
"336",0.0215443469003188,2.15443469003188,"equal",16,1
"337",0.0215443469003188,2.15443469003188,"patch_dynamics",4,1
"338",0.0215443469003188,4.64158883361278,"0.5",21,1
"339",0.0215443469003188,4.64158883361278,"1.5",5,1
"340",0.0215443469003188,4.64158883361278,"equal",17,1
"341",0.0215443469003188,4.64158883361278,"patch_dynamics",2,1
"342",0.0215443469003188,10,"0.5",24,1
"343",0.0215443469003188,10,"1.5",4,1
"344",0.0215443469003188,10,"equal",18,1
"345",0.0215443469003188,10,"patch_dynamics",4,1
"346",0.0464158883361278,0.0215443469003188,"0.5",12,1
"347",0.0464158883361278,0.0215443469003188,"1.5",4,1
"348",0.0464158883361278,0.0215443469003188,"equal",6,1
"349",0.0464158883361278,0.0215443469003188,"patch_dynamics",6,1
"350",0.0464158883361278,0.0464158883361278,"0.5",23,1
"351",0.0464158883361278,0.0464158883361278,"1.5",10,1
"352",0.0464158883361278,0.0464158883361278,"equal",6,1
