"","rep","dispersal","sig_niche","alpha","space_var_part_Space","space_var_part_both","space_var_part_Environment","space_var_part_Residual"
"1952","14","0.01","0.1","1.5","0","0.00222110291536814","0.296587016850822","0.726940081538296"
"1953","14","0.01","0.1","equal","0","0.00147075822874987","0.303537648333799","0.711529964705198"
"1954","14","0.01","0.1","patch","0","0.00581030168529029","0.31319866756681","0.690747810151148"
"1955","14","0.01","0.215443469003188","0.5","0","0.0118532218550172","0.338851968987187","0.659759525364065"
"1956","14","0.01","0.215443469003188","1.5","0","0","0.380803451509149","0.626729146342006"
"1957","14","0.01","0.215443469003188","equal","0","0.0297712677129716","0.289427489088803","0.731494313154673"
"1958","14","0.01","0.215443469003188","patch","0.0128562677946368","0","0.380135385699513","0.649756001631639"
"1959","14","0.01","0.464158883361278","0.5","0","0","0.423028458816217","0.594891508832377"
"1960","14","0.01","0.464158883361278","1.5","0.0272202567398412","0.0288814811579606","0.376867180045518","0.56703108205668"
"1961","14","0.01","0.464158883361278","equal","0","0","0.267989615624042","0.765584830091505"
"1962","14","0.01","0.464158883361278","patch","0","0","0.3797101414677","0.728415193824795"
"1963","14","0.01","10","0.5","0.00607876255111084","0.00710916273657436","0","0.994129705131764"
"1964","14","0.01","10","1.5","0.0226663819911558","0.000100566395275781","0","0.983461302092015"
"1965","14","0.01","10","equal","0.0382015552999238","0.0010259676989377","0","0.963061665761949"
"1966","14","0.01","10","patch","0.0538490604171187","0.00601358602532798","0","0.953192081505265"
"1967","14","0.01","1","0.5","0.00308619783004604","0","0.260360969502802","0.763019806644256"
"1968","14","0.01","1","1.5","0","0","0.228749744557458","0.817020301710776"
"1969","14","0.01","1","equal","0.00659327284840872","0","0.319935323081152","0.677166676112171"
"1970","14","0.01","1","patch","0.0600353247170698","0","0.00694242216777219","0.949488067769413"
"1971","14","0.01","2.15443469003188","0.5","0.0227507600201587","0","0.0462825667884005","0.940616986150485"
"1972","14","0.01","2.15443469003188","1.5","0.0220690066864333","0.00999818209720971","0","0.972772387540515"
"1973","14","0.01","2.15443469003188","equal","0","0","0.0516477326441096","1.01092656158407"
"1974","14","0.01","2.15443469003188","patch","0.394222085769293","0.0107982227887248","0","0.600097477770821"
"1975","14","0.01","4.64158883361278","0.5","0","0","0.00504712489958781","1.03713575425347"
"1976","14","0.01","4.64158883361278","1.5","0","0.00518436140161416","0","1.00852218036074"
"1977","14","0.01","4.64158883361278","equal","0","0","0.0160735973746533","1.04977479033114"
"1978","14","0.01","4.64158883361278","patch","0","0","0.0101451424432137","1.01442759443651"
"1979","14","0.0215443469003188","0.0464158883361278","0.5","0","0","0.236843396772093","0.771014844158667"
"1980","14","0.0215443469003188","0.0464158883361278","1.5","0.0446578152491659","0","0.63029846880185","0.367786758134504"
"1981","14","0.0215443469003188","0.0464158883361278","equal","0.0184200240841406","0.0248870764090133","0.382235913620089","0.574456985886757"
"1982","14","0.0215443469003188","0.0464158883361278","patch","0.0189836644486756","0","0.13520294786889","0.872449870659586"
"1983","14","0.0215443469003188","0.1","0.5","0.00355384293773098","0.00683220359235892","0.278824891872909","0.710789061597001"
"1984","14","0.0215443469003188","0.1","1.5","0","0.00199691513644529","0.311131374375103","0.724835185381774"
"1985","14","0.0215443469003188","0.1","equal","0.017658640518155","0","0.206080140849688","0.77910263464582"
"1986","14","0.0215443469003188","0.1","patch","0.00921163445048268","0.0144582123984519","0.386419355216652","0.589910797934413"
"1987","14","0.0215443469003188","0.215443469003188","0.5","0","0.0100833096886656","0.381338864611753","0.611835805867267"
"1988","14","0.0215443469003188","0.215443469003188","1.5","0.000842321772116517","0.00626628734245593","0.453759444889723","0.539131945995704"
"1989","14","0.0215443469003188","0.215443469003188","equal","0","0","0.407668506203918","0.625440449850312"
"1990","14","0.0215443469003188","0.215443469003188","patch","0","0","0.646298633872252","0.38896964459618"
"1991","14","0.0215443469003188","0.464158883361278","0.5","0.00233383228429795","0","0.454559993907448","0.560567494251017"
"1992","14","0.0215443469003188","0.464158883361278","1.5","0.00350213821530954","0.00428539467034106","0.631023320961543","0.361189146152806"
"1993","14","0.0215443469003188","0.464158883361278","equal","0","0.0190283496424218","0.33085321032509","0.686453508048645"
"1994","14","0.0215443469003188","0.464158883361278","patch","0","0.0106508191922264","0.397139527172432","0.619386446039299"
"1995","14","0.0215443469003188","10","0.5","0","0","0.000637542033741001","1.04051192406684"
"1996","14","0.0215443469003188","10","1.5","0.016089147042496","0.00375447581897792","0.00412762799913358","0.976028749139393"
"1997","14","0.0215443469003188","10","equal","0","0","0.0191469524007342","1.07833830822627"
